t,s1,s2,s3,segment,label,cycle_id,sample_in_cycle
0.0,0.2831639133340021,0.10765686500002905,0.16258690841168272,0,0,0,0
0.01,0.296458239684899,0.18440847457909276,0.11131803089438125,0,0,0,1
0.02,0.2891888742326223,0.2668513316693205,0.03710458782639629,0,0,0,2
0.03,0.30750869945292686,0.1623328555372342,-0.0009489917434082149,0,0,0,3
0.04,0.20391776504055786,0.2936193500142733,0.0005382318039459577,0,0,0,4
0.05,0.2213615299974043,0.15253451771212295,-0.04766628570374091,0,0,0,5
0.06,0.24908996164694933,0.19941517443145526,0.08932433300446971,0,0,0,6
0.07,0.34582072438059996,-0.04859866100222765,-0.2466293147791113,0,0,0,7
0.08,0.22376778075964499,0.1751722978997315,-0.05341476205465219,0,0,0,8
0.09,0.2583252591402067,0.4234269831373035,-0.20233746089502058,0,0,0,9
0.1,0.1934662139154076,0.40960285386213857,-0.04203348790427411,0,0,0,10
0.11,0.2914932109786452,0.14709721242589777,-0.28620601768082754,0,0,0,11
0.12,0.23526737965120076,0.20212512433077176,-0.25787698111302393,0,0,0,12
0.13,0.1429594923901915,0.176365999830282,-0.2423395912189123,0,0,0,13
0.14,0.19370241409287176,0.18513397698434558,-0.15594767724211014,0,0,0,14
0.15,0.14469701548252728,0.2267121916206948,-0.0808999363812883,0,0,0,15
0.16,0.21882475540883317,0.07708034710085108,-0.10618911915535559,0,0,0,16
0.17,0.12769711642308618,0.23827854738797716,-0.29466699876502783,0,0,0,17
0.18,0.260148974974582,0.13978708189822775,-0.3192720476265326,0,0,0,18
0.19,0.12800682639554342,0.13868378605387158,-0.17279072117181482,0,0,0,19
0.2,0.05177913810873219,0.014140428159199206,-0.18454662702958216,0,0,0,20
0.21,0.09390281565321287,0.14022771152602664,-0.1317593843319072,0,0,0,21
0.22,-0.033672875563885596,0.13417707287782143,-0.08724195022921608,0,0,0,22
0.23,0.09219568750923224,0.020040298945408694,-0.1352938426266627,0,0,0,23
0.24,0.1382117155728336,0.183469972804331,-0.24470363887549512,0,0,0,24
0.25,-0.044163435205961485,0.07606349150949497,-0.25332528656726794,0,0,0,25
0.26,0.17298512736705596,0.10007224287678579,-0.36933640593670314,0,0,0,26
0.27,-0.032302500727531186,0.16322365583302856,-0.13479178579427484,0,0,0,27
0.28,0.015313724782347674,0.0693880773283215,-0.15380118611898133,0,0,0,28
0.29,0.11869487214905237,0.15228971890774667,-0.16744509127186272,0,0,0,29
0.3,0.055301284058517246,0.03448041127460107,-0.08147575019597474,0,0,0,30
0.31,-0.1669449518622328,0.04272048024185668,-0.17700826935824732,0,0,0,31
0.32,-0.09060571655829107,0.08659450980117908,-0.23808050033666772,0,0,0,32
0.33,0.13239290323620473,0.0379644900410832,-0.09815361310136651,0,0,0,33
0.34,0.16267365378697882,0.08648008172660876,-0.24431826556615488,0,0,0,34
0.35000000000000003,-0.11559561207529688,0.22160438145831413,-0.15920238083988864,0,0,0,35
0.36,-0.03758876379711257,0.05914238133090826,-0.1582802463606211,0,0,0,36
0.37,0.11227105354588834,0.04688326881369966,-0.12865739529526474,0,0,0,37
0.38,-0.04828590852554161,0.08949108400101027,-0.2242263033491645,0,0,0,38
0.39,0.0861671725173069,0.1941856417811951,-0.26411392950226253,0,0,0,39
0.4,-0.23038566513519898,0.10289276447485762,0.15225906536493863,0,0,0,40
0.41000000000000003,-0.08698333273473569,-0.0843557879336059,-0.03467639814371177,0,0,0,41
0.42,-0.07391925063393281,-0.010343422064982566,-0.11965785901966192,0,0,0,42
0.43,0.060527663076433105,-0.000747694175366076,-0.04862894438431685,0,0,0,43
0.44,-0.01306075971657681,-0.045239290023038795,-0.10033178238407237,0,0,0,44
0.45,-0.09313021262621664,0.039193395842215796,-0.17308504727990193,0,0,0,45
0.46,-0.1100463336116761,0.18337198174408342,-0.0588336043422654,0,0,0,46
0.47000000000000003,-0.008830145636095469,0.08773915642757779,-0.08892858689211847,0,0,0,47
0.48,-0.029021413627815844,0.07774763405299605,-0.012476474147580581,0,0,0,48
0.49,-0.12489417054226229,0.11691993200811404,-0.09421360997142614,0,0,0,49
0.5,-0.11745627675195325,-0.05842814168314807,-0.06927581727170971,0,0,0,50
0.51,0.14789757576247553,-0.08823720360818277,-0.009878986187846345,0,0,0,51
0.52,-0.23170608244031057,0.026510349548925793,0.06778278192422214,0,0,0,52
0.53,-0.044789064965278735,-0.039265897115962886,0.00406712011704367,0,0,0,53
0.54,0.04559098284842475,0.0866960862011117,0.18063639233846218,0,0,0,54
0.55,-0.006899512675756149,-0.04257752244291594,-0.02734029703929229,0,0,0,55
0.56,-0.03853091975064451,0.023564815446936102,-0.016462216058227466,0,0,0,56
