win_i,start_idx,end_idx,center_idx,center_time,win_label,s1__psd_peak_freq,s1__psd_peak_power,s1__bandpower_0_0.01,s1__bandpower_0.01_0.03,s1__bandpower_0.03_0.5,s1__phase_lag,s1__xcorr_score,s1__corrcoef_aligned,s1__mse,s1__rmse,s1__nrmse,s1__mae,s1__mean,s1__median,s1__has_hit,s1__peak_amplitude,s1__hit_samples,s1__counts,s1__duration_samples,s1__rise_time_samples,s1__signal_strength_l1,s1__energy_l2,s2__psd_peak_freq,s2__psd_peak_power,s2__bandpower_0_0.01,s2__bandpower_0.01_0.03,s2__bandpower_0.03_0.5,s2__phase_lag,s2__xcorr_score,s2__corrcoef_aligned,s2__mse,s2__rmse,s2__nrmse,s2__mae,s2__mean,s2__median,s2__has_hit,s2__peak_amplitude,s2__hit_samples,s2__counts,s2__duration_samples,s2__rise_time_samples,s2__signal_strength_l1,s2__energy_l2,s3__psd_peak_freq,s3__psd_peak_power,s3__bandpower_0_0.01,s3__bandpower_0.01_0.03,s3__bandpower_0.03_0.5,s3__phase_lag,s3__xcorr_score,s3__corrcoef_aligned,s3__mse,s3__rmse,s3__nrmse,s3__mae,s3__mean,s3__median,s3__has_hit,s3__peak_amplitude,s3__hit_samples,s3__counts,s3__duration_samples,s3__rise_time_samples,s3__signal_strength_l1,s3__energy_l2
0.0,0.0,255.0,128.0,1.28,0.0,0.00390625,1.587732879939856,0.01013854842265505,0.0033013836300233913,0.007859738782283045,0,0.8083686514753078,0.8083686514754502,0.009412680769437713,0.09701897118315424,0.19665873462499406,0.07620492190856581,-0.02381533608168291,-0.025210580850945352,0,0.43733381804597943,0,0,0,0,34.21419296421597,6.951678859965034,0.00390625,2.249675748730103,0.01306987478252754,0.003813562910217608,0.008277852835586262,0,0.819347377720822,0.8193473777209586,0.009105658638920166,0.09542357485925669,0.17449530480195402,0.0753146341331117,0.003945226708753018,0.0213204072440747,0,0.4296103124092903,0,0,0,0,33.25049248840923,7.071856612654591,0.0078125,1.0012193998323295,0.005777293458041415,0.005050285983117425,0.00788600946658623,0,0.8014189768304312,0.8014189768305782,0.009402544307695307,0.09696671752562994,0.19313990192084535,0.077315026559861,0.0008342466452876188,-0.019178323873918,0,0.46808563666242187,0,0,0,0,33.19886213240341,6.72700757800955
1.0,256.0,511.0,384.0,3.84,0.0,0.00390625,1.3002373529815374,0.007988642034458327,0.0031535746275370463,0.009369305967213389,0,0.7479223971418086,0.7479223971419473,0.011095315690347654,0.10533430443282783,0.21351402483188392,0.08304500530661957,-0.0007210080231361236,0.0010865236052633,0,0.44066862270514473,0,0,0,0,31.854413276972295,6.263044082051865,0.00390625,2.5740133061728847,0.0153685328868033,0.005303020884500474,0.009838457585952897,0,0.8153288690055106,0.8153288690056353,0.011033170825402614,0.10503890148608093,0.1920782695252179,0.08517268520697374,-0.0022622244868930504,0.01684457905344225,0,0.5004933760871584,0,0,0,0,36.771399694100985,8.394700223516896,0.01171875,1.0803148951666701,0.003860928530390705,0.005446556089698521,0.009287508816219207,0,0.8016962328024799,0.8016962328026217,0.0101194461573695,0.1005954579360793,0.20036768672015187,0.08089474784279255,-0.0004841167922784301,-0.016636197016218247,0,0.4183673260345783,0,0,0,0,34.370922590723666,7.242569511137929
2.0,512.0,767.0,640.0,6.4,0.0,0.00390625,1.7767241070725517,0.011483742787726407,0.0031047481795486347,0.008564936475181476,0,0.7897102176335715,0.7897102176337077,0.010651568738072409,0.10320643748367836,0.2092008104515737,0.0826843553686713,0.0026768725958252054,-0.0030047786492279,0,0.4123162989712978,0,0,0,0,35.23119223747316,7.242722851298665,0.00390625,2.1694723126344995,0.013550867144727976,0.004206744681468184,0.009987292754194901,0,0.7990627244582723,0.7990627244584008,0.010655589263407518,0.10322591372038088,0.1887629687387545,0.08255679528318166,0.001996314754732876,0.02060071206791665,0,0.49401037090574856,0,0,0,0,35.02840180946007,7.533160182023999,0.01171875,1.3547486751527673,0.0051825233142783235,0.005927259330913341,0.00808927506565123,0,0.8347643248799106,0.8347643248800554,0.009024912903299412,0.09499954159520672,0.18922164856589846,0.07704735518345199,0.008973050375802726,-0.0080358924673599,0,0.5010246605365105,0,0,0,0,35.8098817681264,7.509007918479704
3.0,768.0,1023.0,896.0,8.96,0.0,0.00390625,2.3376622380948815,0.01508281986369459,0.0018118979271931266,0.00839445935515066,0,0.8297516795755208,0.8297516795756595,0.009421581625318929,0.09706483207279003,0.19675169525335945,0.07741703608287873,0.000467355880139346,0.0234045889956795,0,0.44524969958661204,0,0,0,0,35.86712045713537,7.677018081212001,0.00390625,2.309935665382294,0.013409447881501783,0.004902265853624669,0.008154377430347526,-1,0.8273226503167158,0.830627660802429,0.008635957681601705,0.09292985355418196,0.1699351878721288,0.07654872203736887,0.0018467035479635546,0.02494551579057005,0,0.46172744843635577,0,0,0,0,34.119945382805646,7.097343243120399,0.01171875,1.186885960582113,0.0036139174488344717,0.005144525926783522,0.007643272795076933,1,0.8095515511413929,0.8112732895287263,0.008982393728286464,0.09477549117934692,0.1887753812646149,0.0735203833739442,0.0005244963776396827,-0.0172095546996165,0,0.4499795745520342,0,0,0,0,33.52187055356427,6.717744711948841
4.0,1024.0,1279.0,1152.0,11.52,0.0,0.00390625,2.4013666682296964,0.01562747234257427,0.003653616867700589,0.00956594658999345,0,0.8437856731440719,0.843785673144206,0.0100179559441354,0.10008973945482824,0.20288322242639475,0.07652165215200193,-0.009960543447806551,-0.0114098375021132,0,0.49472638635762534,0,0,0,0,38.02451028654157,8.563567002080879,0.00390625,2.8349921687853454,0.016572124338003376,0.0031068952356510726,0.010381054387258228,0,0.7995332834894441,0.7995332834895695,0.011166847042706006,0.10567330335853993,0.19323836175887127,0.08404263959694949,0.006372204222896541,0.02727366340047605,0,0.4989350045707601,0,0,0,0,35.47089633897848,7.924140652520405,0.01171875,0.9410612324270264,0.004264921384255567,0.0036579828289753816,0.011298090920079199,0,0.7795661437244086,0.779566143724558,0.009523886090367348,0.09759039958093904,0.19438216209078824,0.07620490606150225,-0.0023815050369789537,-0.015799794320602502,0,0.39772883395930547,0,0,0,0,32.54255205506263,6.1401569085222905
5.0,1280.0,1535.0,1408.0,14.08,0.0,0.00390625,1.917648650893245,0.012332398482243396,0.0021232785421861264,0.007664245674940616,0,0.7962832856173494,0.796283285617488,0.010274704605944342,0.10136421758167101,0.2054666064045548,0.08226167833663925,0.0011562348166600685,0.00648511027795855,0,0.43806669024148787,0,0,0,0,34.27761301446234,7.186747453088593,0.00390625,2.2647850081754233,0.013534199614555292,0.0038262666498294325,0.007754290376721754,0,0.8158068675440848,0.8158068675442206,0.009216205926994535,0.09600107253043862,0.1755513397734371,0.07519668448326935,0.00392524487418652,0.01963481985899125,0,0.423045310008167,0,0,0,0,34.12284360533127,7.025086290381555,0.015625,0.7811391535516994,0.002553146425300904,0.00601191219280714,0.010257949402134299,0,0.7885260254254927,0.7885260254256342,0.01036730900853802,0.10181998334579524,0.20280671656015453,0.08278637857906546,-0.0034829195033509314,-0.0045862570015377,0,0.47540169503989393,0,0,0,0,33.72003395147735,7.016466520930139
6.0,1536.0,1791.0,1664.0,16.64,0.0,0.00390625,2.0967238194768796,0.012847483183314327,0.0018623860745769871,0.00978141222990437,0,0.7902297260863435,0.7902297260864792,0.010702686267896389,0.10345378807900844,0.20970219337177107,0.08371162772788474,-0.004000226669796162,-0.0012964160248533502,0,0.47205659498356656,0,0,0,0,34.295452589476525,7.294659325953291,0.00390625,2.924281236602804,0.01665109205033085,0.003092741148607489,0.009724681294898596,0,0.8268074263543779,0.8268074263545059,0.010050882671254728,0.10025409054624518,0.18332857591336335,0.08282119137090332,-0.011277029150149505,0.0091249570390264,0,0.4385378212115965,0,0,0,0,36.56277285400589,8.105191918136203,0.01171875,1.1809811454917807,0.005029151394267767,0.006458934982196746,0.009472596045802443,1,0.8198892709585845,0.8211508014689078,0.00951251777160159,0.09753213712208704,0.19426611396751986,0.07603451345856083,-0.002378550604841566,-0.02685347457540535,0,0.40822421811139176,0,0,0,0,35.937211200041155,7.404013926756356
7.0,1792.0,2047.0,1920.0,19.2,0.0,0.00390625,1.597731496944164,0.010464719826965872,0.0028627588123306927,0.011028290407877506,0,0.8052434320402553,0.8052434320403958,0.009652639665870493,0.09824784814880422,0.19914968444776943,0.07604333106257075,0.00019674972865934073,0.010214239219832551,0,0.46121891246163366,0,0,0,0,34.66246666737587,7.027117425700917,0.00390625,2.7751470832204532,0.01632064763170263,0.004556381323023829,0.008376721492708922,0,0.8445722691536868,0.844572269153819,0.009041794201536803,0.09508834945216371,0.1738822984282741,0.07794606461973833,0.011882822315153453,0.04346882728280575,0,0.4754499031703633,0,0,0,0,35.925268000842834,8.014706155881322,0.01171875,0.8506744198693108,0.004134916468951489,0.0029488635052589978,0.00788902061714089,0,0.7914802966706895,0.7914802966708364,0.009569974099070053,0.09782624442893662,0.19485192173588242,0.0769839725089493,0.00058303180980155,-0.00905048132787585,0,0.4860803278279644,0,0,0,0,32.987396774710156,6.541569647011309
8.0,2048.0,2303.0,2176.0,21.76,0.0,0.00390625,1.7291158888313325,0.011133771401439986,0.00199986599200256,0.007625440905353953,0,0.813710655225603,0.8137106552257439,0.009449516244411923,0.09720862227401396,0.1970431598883615,0.07821007376720494,0.006880632656626182,-0.00186641433592585,0,0.3947967066614127,0,0,0,0,35.31388126455265,7.158368978083185,0.00390625,2.073184616555096,0.011986657222809196,0.004839140303341596,0.00940304666441262,0,0.8042846745881174,0.8042846745882488,0.010017483116990657,0.10008737741089362,0.18302371771233109,0.08303870292433413,0.001570195936845615,0.01570658956152455,0,0.4842961077794225,0,0,0,0,33.87558821381185,7.235230572418454,0.01171875,1.4480221153356039,0.003434793348483965,0.006177754612227537,0.009025863930372894,0,0.8081147588295301,0.8081147588296794,0.008976365942932416,0.09474368550427209,0.18871203019817445,0.07503490632775994,-0.003330453978598276,-0.02039479478006895,0,0.38725227837290555,0,0,0,0,33.3088242162774,6.6216294401736056
9.0,2304.0,2559.0,2432.0,24.32,0.0,0.00390625,1.967338819430963,0.012683810283935917,0.002913195664087029,0.008745190495121444,0,0.8091461039132571,0.8091461039133969,0.009715280799731872,0.09856612399669509,0.19979483379067223,0.07763334663951052,-0.009689710852812481,-0.0120430103716519,0,0.47396270801320317,0,0,0,0,34.15366485853683,7.202426547903084,0.00390625,2.2472084580143594,0.013098847963759791,0.005304095836132901,0.010556752093955363,0,0.8109811141877845,0.8109811141879142,0.010156691978971635,0.10078041465965316,0.18429103290294063,0.08038791697853424,0.005590743504138313,0.038283734787691995,0,0.5257393887541746,0,0,0,0,35.95907439609882,7.593788927228012,0.01171875,1.1224696435856312,0.0036390001868358626,0.006254758887209935,0.010790545855070376,0,0.8020857003447801,0.8020857003449221,0.010040884771572601,0.10020421533834094,0.19958840328267272,0.08290181667842127,-0.009039283098770806,-0.018523877075514852,0,0.48196047044753054,0,0,0,0,35.463141379982545,7.200380067533061
